1,愛本りんく,Happy Around,Sunny◎ショータイム,ストリート,11496,11260,11137,33893,30,4
2,明石真秀,Happy Around,Delight◎リミックス,エレガント,10432,11897,11274,33603,30,4
3,大鳴門むに,Happy Around,Cuie◎オンリー,クール,10775,12746,11253,34774,30,4
4,渡月麗,Happy Around,Drive◎シンフォニー,パーティ,11453,12511,11056,35020,30,4
5,山手響子,Peaky P-key,終点-HEAVEN,クール,11799,11693,11552,35044,30,4
6,犬寄しのぶ,Peaky P-key,急行-ADDICT行,ストリート,11148,12591,10644,34383,30,4
7,笹子・ジェニファー・由香,Peaky P-key,改札-BIGBANG線,エレガント,10610,10796,11828,33234,30,4
8,清水絵空,Peaky P-key,始発-TRANCE,キュート,11825,10519,11121,33465,30,4
9,出雲咲姫,Photon Maiden,,キュート,10007,13256,11306,34569,30,4
10,新島衣舞紀,Photon Maiden,Illuminator,クール,11155,11046,12343,34544,30,4
11,花巻乙和,Photon Maiden,Dazzling Bright,ストリート,12162,10739,11028,33929,30,4
12,福島ノア,Photon Maiden,Sky Drifter,パーティ,10932,12001,11085,34018,30,4
13,瀬戸リカ,merm4id,ハジケルAqua,キュート,11565,11143,11439,34147,30,4
14,水島茉莉花,merm4id,オイデヨNight,エレガント,11340,11477,11255,34072,30,4
15,日高さおり,merm4id,ツナゲルBr!dge,ストリート,11876,12169,10980,35025,30,4
16,松山ダリア,merm4id,ユラメクSpiral,パーティ,10821,10524,12366,33711,30,4
17,青柳椿,燐舞曲,白薔薇の歌姫,キュート,11537,11633,10177,33347,30,4
18,月見山渚,燐舞曲,青薔薇の奏者,エレガント,11088,12277,10740,34105,30,4
19,矢野緋彩,燐舞曲,紫薔薇の踊子,ストリート,12595,10772,10863,34230,30,4
20,三宅葵依,燐舞曲,黒薔薇の貴公子,パーティ,10896,11709,11057,33662,30,4
21,桜田美夢,Lyrical Lily,晴天のハミングバード,クール,12661,10612,10979,34252,30,4
22,春日春菜,Lyrical Lily,青緑のロココ,エレガント,11674,11591,10312,33577,30,4
23,白鳥胡桃,Lyrical Lily,花園のフェアリー,キュート,10924,9956,12567,33447,30,4
24,竹下みいこ,Lyrical Lily,藤花のバタフライ,パーティ,12401,11255,11098,34754,30,4
25,愛本りんく,Happy Around,Happy◎スカイハイ,キュート,10140,8917,8495,27552,20,3
26,明石真秀,Happy Around,Electoric◎パレード,クール,8876,9874,8973,27723,20,3
27,大鳴門むに,Happy Around,Arround◎ゴーラウンド,エレガント,8532,10405,8617,27554,20,3
28,渡月麗,Happy Around,Pop◎コーヒーカップ,ストリート,8779,10375,9831,28985,20,3
29,山手響子,Peaky P-key,天上天下-LOCK ON,パーティ,9486,9327,9383,28196,20,3
30,犬寄しのぶ,Peaky P-key,快刀乱麻-CUT IN,エレガント,8764,9879,8648,27291,20,3
31,笹子・ジェニファー・由香,Peaky P-key,天衣無縫-SPOT LIGHT,キュート,8618,9251,10509,28378,20,3
32,清水絵空,Peaky P-key,唯我独尊-THREE OUT,ストリート,9860,8692,8588,27140,20,3
33,出雲咲姫,Photon Maiden,AnthemMaiden,ストリート,9081,9930,8530,27541,20,3
34,新島衣舞紀,Photon Maiden,CuttingEdge,キュート,8878,8102,10531,27511,20,3
35,花巻乙和,Photon Maiden,PureEmotion,パーティ,10627,8438,8460,27525,20,3
